iter	Passed	Remaining
0	0	93
1	1	84
2	2	80
3	3	74
4	3	74
5	4	74
6	5	73
7	6	72
8	7	71
9	7	70
10	8	69
11	9	68
12	10	67
13	10	66
14	11	65
15	12	64
16	13	63
17	13	63
18	14	62
19	15	61
20	16	60
21	16	59
22	17	58
23	18	57
24	19	57
25	19	56
26	20	55
27	21	55
28	22	54
29	23	53
30	23	52
31	24	52
32	25	51
33	26	50
34	26	50
35	27	49
36	28	48
37	29	47
38	30	46
39	30	46
40	31	45
41	31	43
42	32	43
43	33	42
44	34	41
45	35	41
46	35	40
47	36	39
48	37	38
49	38	38
50	38	37
51	39	36
52	40	35
53	41	35
54	41	34
55	42	33
56	43	32
57	43	31
58	44	31
59	45	30
60	46	29
61	47	28
62	47	28
63	48	27
64	49	26
65	50	25
66	50	25
67	51	24
68	52	23
69	53	22
70	53	22
71	54	21
72	55	20
73	56	19
74	56	18
75	57	18
76	58	17
77	59	16
78	59	15
79	60	15
80	61	14
81	62	13
82	63	12
83	64	12
84	65	11
85	65	10
86	66	9
87	67	9
88	68	8
89	69	7
90	69	6
91	70	6
92	71	5
93	72	4
94	73	3
95	73	3
96	74	2
97	75	1
98	76	0
99	76	0
