iter	Passed	Remaining
0	0	916
1	1	812
2	2	779
3	3	761
4	3	744
5	4	780
6	5	780
7	6	784
8	7	778
9	7	769
10	8	763
11	9	766
12	10	760
13	10	763
14	11	763
15	12	756
16	13	757
17	13	752
18	14	750
19	15	757
20	16	755
21	17	768
22	18	770
23	18	766
24	19	764
25	20	759
26	20	755
27	21	750
28	22	744
29	22	740
30	23	741
31	24	740
32	25	739
33	26	739
34	26	736
35	27	735
36	28	735
37	28	733
38	29	733
39	30	731
40	31	732
41	32	732
42	32	730
43	33	729
44	34	729
45	35	727
46	35	725
47	36	727
48	37	727
49	38	729
50	39	729
51	39	728
52	40	727
53	41	728
54	42	729
55	43	730
56	44	729
57	44	728
58	45	727
59	46	725
60	47	724
61	47	723
62	48	724
63	49	724
64	50	723
65	50	721
66	51	719
67	52	718
68	53	718
69	54	718
70	55	719
71	55	721
72	56	721
73	57	720
74	58	718
75	58	716
76	59	714
77	60	713
78	61	714
79	62	714
80	63	714
81	63	714
82	64	710
83	65	711
84	66	710
85	66	711
86	67	712
87	68	713
88	69	715
89	70	716
90	71	715
91	72	715
92	73	715
93	74	715
94	74	714
95	75	713
96	76	712
97	77	712
98	78	712
99	79	712
100	80	713
101	81	713
102	81	712
103	82	710
104	83	709
105	84	709
106	85	709
107	85	708
108	86	707
109	87	706
110	88	704
111	88	703
112	89	702
113	90	700
114	90	699
115	91	699
116	92	697
117	93	695
118	93	694
119	94	694
120	95	693
121	96	691
122	96	690
123	97	691
124	98	691
125	99	691
126	100	690
127	101	688
128	101	688
129	102	686
130	103	686
131	104	685
132	105	689
133	106	687
134	107	686
135	107	685
136	108	685
137	109	685
138	110	684
139	111	682
140	111	682
141	112	679
142	113	679
143	113	677
144	114	676
145	115	676
146	116	675
147	117	674
148	117	673
149	118	673
150	119	672
151	120	671
152	121	671
153	122	671
154	123	671
155	123	670
156	124	668
157	125	667
158	125	666
159	126	665
160	127	663
161	128	663
162	129	662
163	129	661
164	130	660
165	131	659
166	131	657
167	132	656
168	133	655
169	134	655
170	135	654
171	135	653
172	136	652
173	137	652
174	138	651
175	138	650
176	139	648
177	140	648
178	141	647
179	142	647
180	142	646
181	143	645
182	144	644
183	144	643
184	145	641
185	146	641
186	147	640
187	148	640
188	149	639
189	149	638
190	150	637
191	151	637
192	152	637
193	153	637
194	154	636
195	155	636
196	155	635
197	156	634
198	157	633
199	158	632
200	159	632
201	159	632
202	160	631
203	161	631
204	162	630
205	163	629
206	163	628
207	164	627
208	165	627
209	166	626
210	167	626
211	168	625
212	169	624
213	169	624
214	170	623
215	171	623
216	172	622
217	173	621
218	173	620
219	174	619
220	175	618
221	176	617
222	177	616
223	177	616
224	178	615
225	179	614
226	180	613
227	180	612
228	181	611
229	182	611
230	183	610
231	184	610
232	185	609
233	185	608
234	186	607
235	187	606
236	188	605
237	188	604
238	189	604
239	190	603
240	191	602
241	192	601
242	192	600
243	193	600
244	194	600
245	195	600
246	196	599
247	197	599
248	198	598
249	199	597
250	199	596
251	200	595
252	201	594
253	202	593
254	202	592
255	203	591
256	204	590
257	205	589
258	205	588
259	206	587
260	207	586
261	208	586
262	209	585
263	209	584
264	210	583
265	211	582
266	211	581
267	212	580
268	213	579
269	214	579
270	215	578
271	215	577
272	216	576
273	217	576
274	218	574
275	218	573
276	219	572
277	220	572
278	221	571
279	221	570
280	222	569
281	223	568
282	224	567
283	224	566
284	225	565
285	226	565
286	227	564
287	228	564
288	228	563
289	229	562
290	230	561
291	231	560
292	231	559
293	232	559
294	233	558
295	234	558
296	235	557
297	236	556
298	237	556
299	238	555
300	239	555
301	239	554
302	240	554
303	241	553
304	242	552
305	243	551
306	244	551
307	245	550
308	245	550
309	246	549
310	247	548
311	248	547
312	249	547
313	250	546
314	251	546
315	252	545
316	252	544
317	253	543
318	254	542
319	255	541
320	255	540
321	256	540
322	257	539
323	258	539
324	259	538
325	260	537
326	261	537
327	261	536
328	262	535
329	263	534
330	264	534
331	265	533
332	266	532
333	266	531
334	267	531
335	268	530
336	269	529
337	269	528
338	270	528
339	271	527
340	272	526
341	273	525
342	274	524
343	274	524
344	275	523
345	276	523
346	277	522
347	278	521
348	279	520
349	279	519
350	280	519
351	281	518
352	282	517
353	283	516
354	283	515
355	284	515
356	285	514
357	286	513
358	287	513
359	288	512
360	289	511
361	289	511
362	290	510
363	291	509
364	292	508
365	293	507
366	294	507
367	294	506
368	295	505
369	296	504
370	297	503
371	297	502
372	298	501
373	299	501
374	300	501
375	301	500
376	302	500
377	303	499
378	304	499
379	305	498
380	306	498
381	307	497
382	308	496
383	309	495
384	309	495
385	310	494
386	311	493
387	312	493
388	313	492
389	314	491
390	315	491
391	316	490
392	316	489
393	317	488
394	318	488
395	319	487
396	320	486
397	320	485
398	321	484
399	322	483
400	323	482
401	324	481
402	324	481
403	325	480
404	326	479
405	327	478
406	327	477
407	328	476
408	329	475
409	330	475
410	331	474
411	332	473
412	332	473
413	333	472
414	334	471
415	334	470
416	335	469
417	336	468
418	337	468
419	338	467
420	338	466
421	339	465
422	340	464
423	341	463
424	341	462
425	342	461
426	343	461
427	344	460
428	345	459
429	345	458
430	346	457
431	347	457
432	348	456
433	349	456
434	350	455
435	351	454
436	351	453
437	352	452
438	353	451
439	353	450
440	354	449
441	355	449
442	356	448
443	357	447
444	358	446
445	358	445
446	359	444
447	360	443
448	361	443
449	362	442
450	362	441
451	363	440
452	364	439
453	364	438
454	365	438
455	366	437
456	367	436
457	368	435
458	368	434
459	369	434
460	370	433
461	371	432
462	371	431
463	372	430
464	373	429
465	374	429
466	375	428
467	375	427
468	376	426
469	377	425
470	377	424
471	378	423
472	379	422
473	380	422
474	381	421
475	381	420
476	382	419
477	383	418
478	383	417
479	384	416
480	385	416
481	386	415
482	387	414
483	388	413
484	388	412
485	389	411
486	390	410
487	390	409
488	391	409
489	392	408
490	393	407
491	394	407
492	394	406
493	395	405
494	396	404
495	396	403
496	397	402
497	399	402
498	399	401
499	400	400
500	401	399
501	402	398
502	402	397
503	403	397
504	404	396
505	405	395
506	406	394
507	406	393
508	407	393
509	408	392
510	408	391
511	409	390
512	410	389
513	411	389
514	412	388
515	413	387
516	413	386
517	414	385
518	415	384
519	416	384
520	417	383
521	417	382
522	418	381
523	419	380
524	420	380
525	420	379
526	421	378
527	422	377
528	423	376
529	424	376
530	424	375
531	425	374
532	426	373
533	427	372
534	428	372
535	428	371
536	429	370
537	430	369
538	431	369
539	432	368
540	433	367
541	433	366
542	434	365
543	435	365
544	436	364
545	437	363
546	438	363
547	439	362
548	439	361
549	440	360
550	441	360
551	442	359
552	443	358
553	444	357
554	444	356
555	445	355
556	446	354
557	447	354
558	447	353
559	448	352
560	449	351
561	450	350
562	450	349
563	451	349
564	452	348
565	453	347
566	454	347
567	455	346
568	455	345
569	456	344
570	457	343
571	458	342
572	458	341
573	459	341
574	460	340
575	461	339
576	461	338
577	462	337
578	463	336
579	463	335
580	464	335
581	465	334
582	466	333
583	467	332
584	468	332
585	468	331
586	469	330
587	470	329
588	471	328
589	472	328
590	472	327
591	473	326
592	474	325
593	475	324
594	475	323
595	476	322
596	477	322
597	477	321
598	478	320
599	479	319
600	480	318
601	480	317
602	481	317
603	482	316
604	483	315
605	483	314
606	484	313
607	485	313
608	486	312
609	486	311
610	487	310
611	488	309
612	489	308
613	489	308
614	490	307
615	491	306
616	492	305
617	493	304
618	493	303
619	494	303
620	495	302
621	496	301
622	497	300
623	497	300
624	498	299
625	499	298
626	500	297
627	500	296
628	501	295
629	502	295
630	503	294
631	504	293
632	504	292
633	505	291
634	506	291
635	507	290
636	507	289
637	508	288
638	509	287
639	510	287
640	511	286
641	511	285
642	512	284
643	513	283
644	513	282
645	514	282
646	515	281
647	516	280
648	517	279
649	517	278
650	518	278
651	519	277
652	519	276
653	521	275
654	521	274
655	522	274
656	523	273
657	524	272
658	524	271
659	525	270
660	526	269
661	527	269
662	528	268
663	528	267
664	529	266
665	530	265
666	531	265
667	531	264
668	532	263
669	533	262
670	534	262
671	535	261
672	535	260
673	536	259
674	537	258
675	538	257
676	539	257
677	540	256
678	540	255
679	541	254
680	542	254
681	543	253
682	543	252
683	544	251
684	545	250
685	546	250
686	547	249
687	547	248
688	548	247
689	549	246
690	549	245
691	550	245
692	551	244
693	552	243
694	553	242
695	554	242
696	554	241
697	555	240
698	556	239
699	556	238
700	557	237
701	558	237
702	559	236
703	560	235
704	560	234
705	561	233
706	562	233
707	563	232
708	564	231
709	564	230
710	565	229
711	566	229
712	567	228
713	567	227
714	568	226
715	569	225
716	570	225
717	571	224
718	571	223
719	572	222
720	573	221
721	574	221
722	574	220
723	575	219
724	576	218
725	577	217
726	578	217
727	578	216
728	579	215
729	580	214
730	580	213
731	581	212
732	582	212
733	583	211
734	584	210
735	584	209
736	585	208
737	586	208
738	587	207
739	587	206
740	588	205
741	589	205
742	590	204
743	591	203
744	591	202
745	592	201
746	593	200
747	594	200
748	595	199
749	595	198
750	596	197
751	597	196
752	597	196
753	598	195
754	599	194
755	600	193
756	600	192
757	601	192
758	602	191
759	603	190
760	603	189
761	604	188
762	605	188
763	606	187
764	607	186
765	607	185
766	608	184
767	609	184
768	610	183
769	610	182
770	611	181
771	612	180
772	613	180
773	614	179
774	614	178
775	615	177
776	616	176
777	616	176
778	617	175
779	618	174
780	619	173
781	620	172
782	620	172
783	621	171
784	622	170
785	623	169
786	624	168
787	625	168
788	626	167
789	627	166
790	627	165
791	628	165
792	629	164
793	629	163
794	630	162
795	631	161
796	632	161
797	633	160
798	633	159
799	634	158
800	635	157
801	636	157
802	636	156
803	637	155
804	638	154
805	639	153
806	639	153
807	640	152
808	641	151
809	642	150
810	642	149
811	643	149
812	644	148
813	645	147
814	646	146
815	646	145
816	647	145
817	648	144
818	648	143
819	650	142
820	650	141
821	651	141
822	652	140
823	653	139
824	654	138
825	655	138
826	656	137
827	657	136
828	658	135
829	659	134
830	659	134
831	660	133
832	661	132
833	662	131
834	663	131
835	663	130
836	664	129
837	665	128
838	665	127
839	666	126
840	667	126
841	668	125
842	669	124
843	669	123
844	670	123
845	671	122
846	672	121
847	672	120
848	673	119
849	674	119
850	675	118
851	676	117
852	676	116
853	677	115
854	678	115
855	678	114
856	679	113
857	680	112
858	681	111
859	682	111
860	682	110
861	683	109
862	684	108
863	685	107
864	685	107
865	687	106
866	687	105
867	688	104
868	689	103
869	689	103
870	690	102
871	691	101
872	692	100
873	693	99
874	694	99
875	694	98
876	695	97
877	696	96
878	697	95
879	697	95
880	698	94
881	699	93
882	700	92
883	700	91
884	701	91
885	702	90
886	703	89
887	703	88
888	704	88
889	705	87
890	706	86
891	707	85
892	707	84
893	708	84
894	709	83
895	710	82
896	711	81
897	711	80
898	712	80
899	713	79
900	714	78
901	715	77
902	716	76
903	717	76
904	718	75
905	718	74
906	719	73
907	720	72
908	721	72
909	721	71
910	722	70
911	723	69
912	724	69
913	725	68
914	725	67
915	726	66
916	727	65
917	727	65
918	728	64
919	729	63
920	730	62
921	731	61
922	731	61
923	732	60
924	733	59
925	733	58
926	734	57
927	735	57
928	736	56
929	737	55
930	737	54
931	738	53
932	739	53
933	739	52
934	740	51
935	741	50
936	742	49
937	743	49
938	744	48
939	744	47
940	745	46
941	746	45
942	747	45
943	748	44
944	748	43
945	749	42
946	750	41
947	750	41
948	751	40
949	752	39
950	753	38
951	754	38
952	755	37
953	755	36
954	756	35
955	757	34
